ID,Language_ID,Headword,Part_Of_Speech,Construction,Entry_IDs,Etymology,Gloss,Morpheme_Breaks,Morphological_Structure,Official_Orthography,Type,Variant_Form
baabbe,sid,baabbe,Noun,,,,,,,baabbe,T (FEM),
baado,sid,baado,Noun,,,,,,,baado,K (MASC) ; K (MASC),
LX000001,sid,baakʼeela,Noun,,,,,,,baaqeela,K (MASC),
baala,sid,baala,adjective,,,,,,,baala,,
baalle,sid,baalle,Noun,,,,,,,baalle,T (FEM),
LX000002,sid,baalliʧʧo,Noun,,,,power.to.bless.or.curse.after.the.luba.time-SGLT,baall(e)-iʧʧo,baall(e)-icco (SGLT),baallichcho,T (FEM),
baambe,sid,baambe,Noun,,,,,,,baambe,T (FEM),
baara,sid,baara,Noun,,,,,,,baara,K (MASC),
LX000003,sid,baara ʔilaʔilo,Noun,,,,hard.spirit bear-INF-REDUPL,baara ʔil-a-ʔilo,baara xil- ('bear') -REDUPL,baara ilailo,K (MASC),
baare,sid,baare,Noun,,,,,,,baare,K (MASC),
baarigaarimma,sid,baarigaarimma,Noun,,,,enemy-ABSTR,baarigaar(a)-imma,baarigaar(a)-imma (ABSTR),baarigaarimma,T (FEM),
baarigaaroota,sid,baarigaaroota,Noun,,,,enemy-PL,baarigaar(a)-oota,baarigaar(a)-oota (PL),baarigaaroota,K (MASC),
baasa,sid,baasa,Noun,,,,,,,baasa,T (FEM) ; T (FEM),
LX000004,sid,baasa baʔoo,interjection,,LX000030,,,,,baasa baoo,,
LX000005,sid,baaʃʃaabi,Verb,,,,hunger-DER-,baaʃʃ(e)-aab-,baaSS(e)-aab (DER)-,baashshaawi,,
LX000006,sid,baaʃʃalliʧʧo,Noun,,,,hunger-DER-SGLT,baaʃʃ(e)-all-iʧʧo,baaSS(e)-all (DER)-icco (SGLT),baashshallichcho,K (MASC),
LX000007,sid,baaʃʃe,Noun,,,,,,,baashshe,T (FEM),
baati,sid,baati,Verb,,,,,,,baati,,
baatto,sid,baatto,Noun,,,,,,,baatto,K (MASC) ; T (FEM),
LX000008,sid,baatʼtʼi,Verb,,,,pay-AB-,baat-ɗ-,baat-D (AB)-,baaxxi,AB,
babba,sid,babba,Noun,,,,,,,babba,T (FEM),
babbadami,sid,babbadami,Verb,,,,REDUPL-separate-PAS-,bab-bad-am-,bab (REDUPL)-bad-am (PAS)-,babbadami,PAS,
babbadi,sid,babbadi,Verb,,,,REDUPL-separate,bab-bad-,bab (REDUPL)-bad-,babbadi,,
babbiso,sid,babbiso,proper noun,,,,,,,babbiso,K (MASC),
LX000009,sid,babbiʧʧa,Noun,,,,stammer-DER.SGLT,babb-iʧʧa,babb-icca (DER.SGLT),babbichcha,K (MASC),
badadi,sid,badadi,Verb,,,,,,,badadi,,
badala,sid,badala,Noun,,,,,,,badala,T (FEM),
badami,sid,badami,Verb,,,,separate-PAS-,bad-am-,bad-am (PAS)-,badami,PAS,
LX000010,sid,badaʧʧa,proper noun,,,,,,,badachcha,K (MASC),
badde,sid,badde,Noun,,,,,,,badde,T (FEM) ; T (FEM),
LX000011,sid,baddete ʔuurre,adverbial,,,,forehead-DAT stand,badde-te ʔuurr-,badde-te (DAT) xuurr ('stand')-,baddete uurre,,
badi,sid,badi,Verb,,,,,,,badi,,
badiro,sid,badiro,Noun,,,,,,,badiro,K (MASC),
bado,sid,bado,Noun,,,,,,,bado,T (FEM),
bado_badotenni,sid,bado badotenni,adverbial,,,,turn turn-ABL,bado bado-tenni,bado bado-tenni (ABL),bado badotenni,,
LX000012,sid,badooʃʃe,Noun,,,,separate-DER,bad-ooʃʃe,bad-ooSSe (DER),badooshshe,K (MASC),
LX000013,sid,baɗaasa,Noun,,,,,,,ba’raasa,K (MASC),
LX000014,sid,baɗaasi,Verb,,,,,,,ba’raasi,,
LX000015,sid,baɗɗe,Noun,,,,,,,badhe,T (FEM),
LX000016,sid,baɗɗe,postposition,,,,,,,badhe,,
LX000017,sid,baɗɗe woɗɗi,Verb,,,,back put-AB-,baɗɗe wor-ɗ-,baDDe wor ('put')-D (AB)-,badhe wodhi,,
LX000018,sid,baɗɗenni,postp,,,,N-GEN back-ABL,ɲ-GEɲ baɗɗe-nni,N-GEN baDDe-nni (ABL),badhenni,complex,
LX000019,sid,baɗɗera,adverbial,,,,back-DAT,baɗɗe-ra,baDDe-ra (DAT),badhera,,
