ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Corpus_Reference,Media_IDs,Sense_IDs,Gloss_POS,Lexical_Entries
XV000001,sid,haɗɗinonniba ma ʔassitini?,haɗ\t-tino\t-nni\t-ba\tma\tʔassi\t-tini\t?,go\tPST.IMPF.2PL\tABL\tDAT\twhat\tdo\tPRF.2PL\t,What did you (pl) do at the place you went to?,,,I 34-6,,,v\tv:Any\tcase\tcase\tpro\tv\tPronoun\t,haɗi\t-tino\t-nni 1\t-ba\tma\tʔassi\t-tini\t
XV000002,sid,woleba darga seekkitenna ...,woleba\tdarg\t-a\tseekk\t-i\t-te\t-nna\t...,elsewhere\tplace\tACC\tmake_suitable\tEV\tCVB.3T\tNS\t,As she has prepared space for it elsewhere ...,,,VII 6-17,,,adverbial\tn\tn:Any\tv\tAttaches to any category\tv:Any\tv:Any\t,woleba\tdarga\t-a 1\tseekki\t-V\t-te 3\t-nna 4\t
XV000003,sid,ʔinsa baalle kaaʤʤadote,ʔinsa\tbaall\t-e\tkaaʤʤad\t-o\t-te,3PL\tpower_to_bless_or_curse_after_the_luba_(s.d.)_time\tNOM\tstrong\tACC\tCOP,Their curse is heavy,,,IX 22-5,,SN000006,pro\tn\tn:Any\tadjective\tn:Any\tcopula,ʔinsa\tbaalle\t-e 4\tkaaʤʤado\t-o 1\t-te 2
XV000004,sid,barigarootisi ʔamadde kaʔʔe ...,barigaroot\t-i\t-si\tʔamad\tde\tkaʔ\t-te\t...,enemy_(plural)\tNOM.MOD\t3K.POSS\tcatch\tCVB.3T\tand_then\tCVB.3T\t,After his enemies had taken him ... (misprinted),,,V 7-5,,SN000013,n\tn:Any\tPronoun\tv\tv:Any\tv\tv:Any\t,barigaroota\t-i 3\t-si 1\tʔamadi\t\tkaʔe\t-te 3\t
XV000005,sid,ʔisi babbisooti,,,He is the person called Babbiso,,,,,SN000027,,
XV000006,sid,tenne badala mamoote hiɗɗitto?,tenn\t-e\tbadal\t-a\tmamoote\thiɗɗ\t-itto\t?,this\tACC\tmaize\tACC\twhen?\tbuy\tPRF.2M\t,When did you buy this maize?,,,I 17-4,,SN000030 ; SN002273,pro\tn:Any\tn\tn:Any\tpro\tv\tv:Any\t,tenne\t-e 2\tbadala\t-a 1\tmamoote\thiɗɗi\t-itto\t
XV000007,sid,buʃano danʧano bandeemmo gede kaaʔlannonke,buʃ\t-a\t-no\tdanʧ\t-a\t-no\tbad\t-neemmo\tged\t-e\tkaaʔl\t-anno\t-nke,bad\tACC\tand\tgood\tACC\tand\tseparate\tIMPF.1PL\tthat\tACC\thelp\tIMPF.3K\t1PL.ACC/DAT,he helps us to distinguish between bad and good,,,VIII 10-10,,SN000036,adjective\tn:Any\tconjunction\tadjective\tn:Any\tconjunction\tv\tv:Any\tnominalizer\tn:Any\tv\tv:Any\tPronoun,buʃa\t-a 1\t-no 1\tdanʧa\t-a 1\t-no 1\tbadi\t-neemmo 2\tgede 1\t-e 2\tkaaʔli\t-anno\t-nke 2
XV000008,sid,konne ʧʼoe bade kuleemmoʔne,konn\t-e\tʧʼo\t-e\tbad\t-e\tkul\t-eemmo\t-ʔne,this\tACC\tmatter\tACC\tseparate\tCVB.1SG\ttell\tIMPF.1SG.M\t2PL,I tell you (pl.) this in particular,,,XIII 7-10,,SN000036,pro\tn:Any\tn\tn:Any\tv\tv:Any\tv\tv:Any\tPronoun,konne 2\t-e 2\tʧʼoe\t-e 2\tbadi\t-e 1\tkuli\t-eemmo\t-ʔne
XV000009,sid,bado ʔilliisi,bad\t-o\tʔiill\t-i\t-si,turn\tNOM\treach\tPRF.3K\t3K.ACC/DAT,The turn reached him,,,Luk. 1. 23.,,SN000038,n\tn:Any\tv\tv:Any\tn:Any,bado\t-o 2\tʔiilli\t-í\t-si 2
XV000010,sid,manʧu harriʧʧoho baɗɗenni haɗanni no,manʧ\t-u\tharriʧʧ\t-o\t-ho\tbaɗɗe\t-nni\thaɗ\t-a\t-nni\tno,man\tNOM.U\tdonkey\tOBL\tDAT.U\tbehind\tABL\tgo\tPART\tABL\texist,The man is walking behind the donkeys,,,I 43-4,,SN000046,n\tn:Any\tn\tn:Any\tcase\tpostposition\tcase\tv\tv:Any\tcase\tv,manʧo\t-u 3\tharriʧʧo\t-o 3\t-ho 1\tbaɗɗe\t-nni 1\thaɗi\t-a 7\t-nni 1\tno
