ID,Description,Entry_ID,Comment
SN000001,tree species,baabbe,
SN000002,country,baado,
SN000003,group; party,baado,
SN000004,beans,LX000001,
SN000005,every; whole,baala,
SN000006,power to bless or curse after the luba (s.d.) time; feathers,baalle,SAED: luba member taking part in the appropriate 8 year luba period
SN000007,feather,LX000002,
SN000008,stupidity,baambe,
SN000009,hard spirit,baara,in men
SN000010,spirit that gives sexual potence to men,LX000003,
SN000011,ocean; sea,baare,
SN000012,enmity,baarigaarimma,
SN000013,enemies,baarigaaroota,
SN000014,extraordinary happening,baasa,dialectal in Habeela
SN000015,many,baasa,
SN000016,exclamation of astonishment,LX000004,
SN000017,be unsatisfyable,LX000005,"e.g. regarding sex, money"
SN000018,somebody greedy for women or money,LX000006,
SN000019,hunger; sexual lust,LX000007,
SN000020,pay,baati,
SN000021,god of the earth,baatto,traditional religion
SN000022,land; country; nation,baatto,
SN000023,pay in one's own interest,LX000008,
SN000024,missis,babba,
SN000025,be separated from each other,babbadami,
SN000026,separate from each other (tr.),babbadi,
SN000027,male person´s name,babbiso,
SN000028,stammerer,LX000009,
SN000029,try,badadi,
SN000030,maize,badala,
SN000031,be separated,badami,
SN000032,name of man,LX000010,
SN000033,forehead,badde,of people or animals
SN000034,baldness,badde,
SN000035,standing face to face,LX000011,
SN000036,separate; distinguish,badi,
SN000037,piece of wood on which one kneads waasa; trough for feeding or watering cattle,badiro,
SN000038,turn,bado,
SN000039,after turn; successively,bado_badotenni,
SN000040,difference,LX000012,
SN000041,generous person,LX000013,
SN000042,convince; emphasize,LX000014,
SN000043,back,LX000015,"of people, animals"
SN000044,behind,LX000016,
SN000045,turn one's back to somebody; deny,LX000017,
SN000046,behind N,LX000018,
SN000047,backwards,LX000019,
SN000048,I have no one behind my back (i.e. to help me),LX000020,
SN000049,backward,LX000021,
SN000050,smallpox,baga,
SN000051,plateau; elevation; height,baga,
SN000052,soldier,LX000022,
SN000053,weapon; war,bagado,
SN000054,be bored,bagi,
SN000055,big; bigger; older,LX000023,
SN000056,be carried,LX000024,
SN000057,younger´s address to elder,LX000025,
SN000058,carry on the back; carry; yield,LX000026,
SN000059,yield,LX000027,
SN000060,bigger; upper,LX000028,
SN000061,make big,LX000029,"age, number"
SN000062,alas,LX000030,
SN000063,instead of,LX000031,
SN000064,place,LX000032,
SN000065,from everywhere; in every place,LX000033,
SN000066,immediately,LX000034,
SN000067,go from place to place; wander about,LX000035,
SN000068,morning star,LX000036,
SN000069,fat meat,LX000037,
SN000070,cheek,LX000038,
SN000071,yellow,LX000039,
SN000072,be/become yellow,LX000040,
SN000073,wake up (itr.),LX000041,
SN000074,wake up (tr.),LX000042,
SN000075,foolish,balala,
SN000076,be foolish,balali,
SN000077,foolishness,balalle,
SN000078,make somebody foolish,balalsi,
SN000079,do first,LX000043,
SN000080,bucket,balde,
SN000081,hole in the earth; well,bale,
SN000082,disappear; destroy crops,ballehi,Subj: animal
SN000083,be blind,balli,
SN000084,taboo; taboo of naming and the corresponding euphemisms,LX000044,
SN000085,blind (man),LX000045,
SN000086,please; respectful address,ballo,
SN000087,"in-law (father-, daughter- etc.)",ballo,
SN000088,please,LX000046,
SN000089,custom,LX000047,
SN000090,water-vessel of bamboo,LX000048,used in the Sidaama highland
SN000091,flag,bandera,
SN000092,be warned; swear not to do it again,bangagi,after a crime; SAED
SN000093,issue a warning; cause to swear not to do it again,bangagisi,
SN000094,warning,LX000049,
SN000095,lightning,LX000050,
SN000096,cause astonishment,baraarragisi,
SN000097,startle (itr.),baragi,
SN000098,desert,baraha,where no people live
SN000099,startle (itr.),LX000051,
SN000100,frighten,bararraassi,
SN000101,ashen soil,barbaada,there is no grass on it
SN000102,hero,bareeda,in war
SN000103,be brave,bareedi,
SN000104,half-cooked meat of ox or of sick animal,bargo,
SN000105,enemy (plural),barigaroota,
SN000106,put a pillow under one's head,LX000052,
SN000107,wooden pillow,barko,
SN000108,day; afternoon,barra,
SN000109,be/become day,barri,
SN000110,day by day,barru_barrunni,
SN000111,mid-day,barru_taalo,
SN000112,eucalyptus,barsaafe,
SN000113,neglection of duty,LX000053,
SN000114,be circumcised,LX000054,
SN000115,small chair,LX000055,with three or four legs
SN000116,room; small field,base,
SN000117,small field,base,
SN000118,from everywhere,base_battalanni,
SN000119,church,baskaana,orthodox
SN000120,cat,basu,
SN000121,cat,LX000056,
SN000122,millet,LX000057,
SN000123,long ago,LX000058,
SN000124,like he was before,LX000059,
SN000125,abound; be big,LX000060,
SN000126,abundance,LX000061,
SN000127,make abundant,batisi,
SN000128,many,LX000062,
SN000129,very good thing,LX000063,
SN000130,"want a good thing, and get it",LX000064,
SN000131,clay-pots; three broken pots in fireplace,LX000065,
SN000132,piece of broken pottery,LX000066,
SN000133,be unclean,battaabi,ritually
SN000134,plain without forest,battala,
SN000135,unclean food,batte,
SN000136,make unclean,batteessi,
SN000137,be loved; love each other,LX000067,
SN000138,love; like,LX000068,
SN000139,like,LX000068,
SN000140,love,LX000069,
SN000141,cause to love; cause to like,LX000070,
SN000142,be separated; be different,LX000071,
SN000143,many,LX000072,
SN000144,perish; be destroyed; go astray; be bad,LX000073,
SN000145,be bad,LX000073,
SN000146,without,LX000074,
SN000147,yesterday,LX000075,
SN000148,stupid person,beebba,Not in G or SAED
SN000149,sin; wrong-doing,beebba,
SN000150,wrong-doing,beebba,
SN000151,give a false testimony,LX000076,
SN000152,witness falsely,beebba_wori,lit. Place sin
SN000153,commit an injustice,LX000077,
SN000154,wrongdoer; false person,beebbataamo,
SN000155,keep quiet,beebi,
SN000156,be covered up,beebi,
SN000157,stars,beeddahe,
SN000158,star,beeddakko,
SN000159,be divided,beehami,
SN000160,allotment; share,LX000078,
SN000161,share,LX000079,
SN000162,portion,LX000080,
SN000163,divide,beehi,
SN000164,divide for oneself,LX000081,
